
1327,2012-06-23,LeDefiBeauceron,10KM,00:58:18,M20-29

1346,2012-09-23,Marathon Oasis de Montreal,Marathon,03:57:27,M18-24

1350,2012-09-23,MarathonOasisdeMontreal,1KMPTITMARATHON,00:07:13,F13+

1351,2012-10-20,Cross-CountrySaint-LaurentSelect,5KM,00:23:40,M50-59
1351,2012-10-14,ClassiqueDuParcLaFontaine,10KM,00:44:19,M50-59
1351,2012-10-07,LeCrossDesCouleurs,11KM,00:58:38,M50-59
1351,2012-09-23,MarathonOasisdeMontreal,DEMI-MARATHON,01:44:30,M55-59
1351,2012-09-16,LaGrandeVadrouille,10KM,00:45:01,M50-59
1351,2012-08-15,Le5kmEndurance,5KM,00:21:57,M50-59
1351,2012-08-05,DéfiBoréalSainte-Anne-de-Bellevue,20KM,01:45:53,M50-59
1351,2012-06-03,DéfiTri-O-Lacs,10KM,00:46:21,M50-59
1351,2012-05-13,AurythmedenosfouléesChâteauguay,10KM,00:46:52,M50-59
1351,2012-05-06,DéficourseetmarcheDesjardinsSainteThérèse,10KM,00:47:03,M50-59
1351,2012-04-22,CourseSaint-Laurent,10KM,00:46:26,M50-59
1351,2012-03-25,CourseetmarchepopulairesdeLaSalle,5KM,00:22:54,M50-59

1353,2012-10-28,RattlemeBones5and10km,FUNNYBONERUN5K,00:27:35,F20-29

1354,2012-09-23,MarathonOasisdeMontreal,MARATHON,04:02:48,F18-24

1360,2012-09-23,MarathonOasisdeMontreal,MARATHON,04:13:01,F40-44

1361,2012-09-23,Marathon Oasis de Montreal,Marathon,04:40:29,M45-49

1364,2012-09-23,Marathon Oasis de Montreal,Marathon,03:50:17,M40-44

1365,2012-09-23,MarathonOasisdeMontreal,DEMI-MARATHON,02:04:27,F40-44
1365,2012-08-19,CoupeDix302012,10KM,00:53:31,F40-49
1365,2012-07-22,CoupeDix302012,10KM,00:55:46,F40-49

1366,2012-04-29,BanqueScotia21kmet5km,"21,1KM",01:57:09,F45-49

1368,2012-09-23,MarathonOasisdeMontreal,DEMI-MARATHON,02:02:21,M45-49

1369,2012-09-15,DuathlonSt-Sauveur,DUATHLON,01:12:45,M40-44
1369,2012-09-08,TriathlonEspritdeMontreal,TRIATHLONDEMI-ESPRIT,04:28:48,M40-44
1369,2012-08-19,IronmanMont-Tremblant,OVERALL,10:45:04,M40-44
1369,2012-06-09,Triathlon/DuathlonMont-Tremblant,TRIATHLONOLYMPIQUE,02:26:05,M40-44
1369,2012-05-27,TriathlonDuathlond'Oka,TRIATHLON,01:12:48,M40-44
1369,2012-05-12,CoursedelaFondationhopitalSaintJerome,10KM,00:37:44,M40-49
1369,2012-05-06,DéficourseetmarcheDesjardinsSainteThérèse,10KM,00:39:08,M40-49
1369,2012-04-29,CoursePrintaniereOka,10KM,00:40:49,M40-49
1369,2012-02-19,DéfiHivernalIleBizard,10KM,00:43:26,M40-49

1372,2012-09-23,Marathon Oasis de Montreal,Marathon,04:05:09,M25-29

1374,2012-09-23,MarathonOasisdeMontreal,MARATHON,03:36:41,M50-54

1375,2012-09-23,MarathonOasisdeMontreal,DEMI-MARATHON,02:02:28,M50-54
1375,2012-09-16,LaGrandeVadrouille,10KM,00:53:24,M50-59
1375,2012-08-26,MarathondesDeuxRivesLévis-Québec,DEMI-MARATHON,02:12:21,M50-59
1375,2012-06-17,TourduLacBrome,20KMROUTE,02:01:00,M50-59

1385,2012-09-23,MarathonOasisdeMontreal,MARATHON,04:13:33,M50-54
1385,2012-04-29,BanqueScotia21kmet5km,"21,1KM",02:16:47,M50-54

1386,2012-09-23,Marathon Oasis de Montreal,Marathon,04:18:43,F25-29

1388,2012-09-23,MarathonOasisdeMontreal,MARATHON,03:27:46,M40-44
1388,2012-08-26,MarathondesDeuxRivesLévis-Québec,DEMI-MARATHON,01:31:17,M40-49
1388,2012-06-16,TriathlonLacBeauport,DUATHLON,01:24:14,M40-44

1394,2012-09-23,Marathon Oasis de Montreal,Marathon,03:24:56,M30-34

1403,2012-09-23,MarathonOasisdeMontreal,MARATHON,04:09:59,M50-54

1404,2012-09-23,Marathon Oasis de Montreal,Marathon,03:50:00,M50-54

1413,2012-06-10,LaGrandeVireedesSentiersSt-Bruno,10KM,00:51:37,F30-39

1414,2012-09-23,Marathon Oasis de Montreal,Marathon,04:07:42,F30-34

1419,2012-09-23,MarathonOasisdeMontreal,DEMI-MARATHON,01:59:27,F35-39
1419,2012-05-13,AurythmedenosfouléesChâteauguay,DEMI-MARATHON,01:58:12,F30-39
1419,2012-03-25,CourseetmarchepopulairesdeLaSalle,10KM,00:53:59,F30-39

1426,2012-09-23,MarathonOasisdeMontreal,DEMI-MARATHON,02:45:27,M25-29

1427,2012-07-22,IronmanLakePlacid,OVERALL,10:50:48,M30-34
1427,2012-06-30,TupperLakeTinmanTriathlon,TINMANTRIATHLON,04:48:49,M30-34
1427,2012-06-03,Ironman70.3Mooseman,OVERALL,04:52:38,M30-34
1427,2012-05-06,DemiMarathonInternationaldeQuebec,DEMIMARATHON,01:19:53,M30-39

1433,2012-11-04,OkaRoadRace,DEMI-MARATHON,02:08:12,M40-49
1433,2012-08-19,IronmanMont-Tremblant,OVERALL,11:58:00,M30-34
1433,2012-07-22,TriathlonTrimemphredeMagog,TRIATHLONLONGUEDISTANCE,05:19:14,M30-34
1433,2012-06-30,DemiMarathondeSherbrooke,DEMIMARATHON,01:40:49,M30-39
1433,2012-06-09,Triathlon/DuathlonMont-Tremblant,TRIATHLONOLYMPIQUE,02:33:49,M30-34

1434,2012-09-23,MarathonOasisdeMontreal,MARATHON,04:03:55,M50-54
1434,2012-05-27,OttawaRaceWeekend,MARATHON,04:20:29,M45-49

1436,2012-10-14,ScotiabankTorontoWaterfrontMarathon,HALFMARATHON,02:06:23,F35-39

1437,2012-10-14,ClassiqueDuParcLaFontaine,5KM,00:21:26,M40-49

1438,2012-09-23,MarathonOasisdeMontreal,MARATHON,03:56:34,M40-44

1439,2012-09-23,Marathon Oasis de Montreal,Marathon,04:13:34,F30-34

1442,2012-09-23,MarathonOasisdeMontreal,MARATHON,03:10:32,F35-39
1442,2012-07-22,CoupeDix302012,10KM,00:40:58,F30-39

1445,2012-09-30,MarathondeRimouski,"21,1KM",01:33:24,M50-59
1445,2012-09-23,MarathonOasisdeMontreal,MARATHON,03:20:37,M50-54
1445,2012-08-26,MarathondesDeuxRivesLévis-Québec,MARATHON,03:34:06,M50-59
1445,2012-06-17,DescenteRoyale,10KM,00:48:10,M50-59
1445,2012-06-03,DefidesEscaliers,GRIMPEURS,00:03:13,M50-59
1445,2012-06-03,DefidesEscaliers,SPRINTEURS,00:17:46,M50-59
1445,2012-06-03,DefidesEscaliers,19KM,-1,M50-59
1445,2012-05-26,OttawaRaceWeekend,10KM,01:34:51,M50-54
1445,2012-05-06,DemiMarathonInternationaldeQuebec,DEMIMARATHON,01:33:07,M50-59

1446,2012-09-23,MarathonOasisdeMontreal,DEMI-MARATHON,02:10:08,M35-39
1446,2012-06-24,CoupeDix302012,10KM,01:00:23,M30-39

1456,2012-09-23,Marathon Oasis de Montreal,Marathon,04:26:02,F35-39

1457,2012-05-06,"GoodlifeTorontoMarathon,HalfMarathon,and5k",HALFMARATHON,01:44:23,M40-44

1461,2012-06-23,LeDefiBeauceron,10KM,00:56:28,M50-59

1462,2012-09-23,MarathonOasisdeMontreal,MARATHON,04:27:18,M45-49
1462,2012-04-29,BanqueScotia21kmet5km,"21,1KM",02:14:21,M45-49

1464,2012-09-23,MarathonOasisdeMontreal,MARATHON,04:15:34,F18-24

1465,2012-10-07,DemimarathondescouleursdeBecancour,DEMIMARATHON,02:04:31,F20-29

1470,2012-09-23,Marathon Oasis de Montreal,Marathon,04:11:21,M40-44

1471,2012-09-23,Marathon Oasis de Montreal,Marathon,04:42:04,M45-49

1472,2012-09-23,MarathonOasisdeMontreal,DEMI-MARATHON,02:09:12,M50-54

1474,2012-09-23,Marathon Oasis de Montreal,Marathon,04:42:39,F45-49

1480,2012-10-14,ScotiabankTorontoWaterfrontMarathon,MARATHON,04:04:16,M45-49
1480,2012-09-23,ArmyRun/CoursedelArmee,HALFMARATHON,01:41:13,M40-49

1482,2012-08-26,IronmanCanada,OVERALL,10:35:27,M50-54

1488,2012-09-23,ArmyRun/CoursedelArmee,HALFMARATHON,02:09:45,M40-49
1488,2012-02-19,WintermanMarathonandMarathonRelays,10KM,00:56:44,F40-44

1489,2012-09-23,MarathonOasisdeMontreal,MARATHON,03:31:52,M30-34

1491,2012-09-23,Marathon Oasis de Montreal,Marathon,04:42:39,M25-29

1492,2012-09-23,MarathonOasisdeMontreal,DEMI-MARATHON,01:47:02,F25-29
1492,2012-09-09,Demi-MarathonGranby,10KMCOURSE,00:49:04,M20-29
1492,2012-06-30,DemiMarathondeSherbrooke,DEMIMARATHON,01:55:33,F20-29

1493,2012-08-05,DéfiBoréalSainte-Anne-de-Bellevue,20KM,02:06:13,F30-39

1497,2012-09-23,MarathonOasisdeMontreal,MARATHON,04:02:29,M30-34

1500,2012-11-04,OkaRoadRace,DEMI-MARATHON,01:30:04,M50-59
1500,2012-09-23,MarathonOasisdeMontreal,MARATHON,03:10:24,M50-54
1500,2012-07-08,CoupeDix302012,10KM,00:41:01,M50-59
1500,2012-05-27,OttawaRaceWeekend,MARATHON,03:20:03,M50-54

1501,2012-09-30,MarathondeRimouski,"21,1KM",01:56:55,F50-59

1509,2012-09-23,MarathonOasisdeMontreal,5KMSPORTSEXPERTS,00:23:07,M35-39
1509,2012-04-29,BanqueScotia21kmet5km,5KM,00:30:24,M35-39

1512,2012-09-23,MarathonOasisdeMontreal,DEMI-MARATHON,02:57:57,F25-29

1515,2012-09-23,MarathonOasisdeMontreal,MARATHON,03:50:31,M30-34
1515,2012-06-17,TourduLacBrome,10KMROUTE,00:48:02,M30-39

1518,2012-09-23,MarathonOasisdeMontreal,10KM,00:51:58,M35-39
1518,2012-06-02,Coursedesiles,5KM,00:27:34,M30-39

1522,2012-09-23,MarathonOasisdeMontreal,MARATHON,04:06:33,F25-29
1522,2012-06-17,TourduLacBrome,20KMROUTE,01:44:21,F20-29
1522,2012-05-06,CourseduFortdeChambly,10KM,00:47:42,F20-29

1523,2012-05-26,OttawaRaceWeekend,10KM,00:54:53,F30-34

1526,2012-09-23,MarathonOasisdeMontreal,DEMI-MARATHON,01:58:37,M25-29

1527,2012-09-23,MarathonOasisdeMontreal,MARATHON,03:32:29,M45-49

1528,2012-09-23,Marathon Oasis de Montreal,Marathon,03:46:26,M35-39

1529,2012-09-23,MarathonOasisdeMontreal,MARATHON,03:22:01,M40-44

1531,2012-09-23,Marathon Oasis de Montreal,Marathon,03:45:25,M35-39

1535,2012-09-23,MarathonOasisdeMontreal,MARATHON,03:36:55,M35-39

1539,2012-09-23,MarathonOasisdeMontreal,MARATHON,03:26:01,M25-29

1546,2012-09-23,MarathonOasisdeMontreal,MARATHON,03:55:37,F35-39
1546,2012-06-30,DemiMarathondeSherbrooke,DEMIMARATHON,02:07:31,F30-39

1550,2012-09-23,MarathonOasisdeMontreal,MARATHON,04:30:36,F45-49
1550,2012-06-10,LaGrandeVireedesSentiersSt-Bruno,20KM,01:51:21,M40-49

1554,2012-10-14,ClassiqueDuParcLaFontaine,5KM,00:20:33,M40-49
1554,2012-09-23,MarathonOasisdeMontreal,MARATHON,03:51:17,M40-44
1554,2012-04-29,BanqueScotia21kmet5km,"21,1KM",01:47:09,M40-44

1555,2012-05-06,DemiMarathonInternationaldeQuebec,DEMIMARATHON,01:44:20,M30-39

1560,2012-09-23,Marathon Oasis de Montreal,Marathon,03:55:20,M40-44

1562,2012-10-14,ScotiabankTorontoWaterfrontMarathon,HALFMARATHON,02:36:41,F30-34
1562,2012-09-23,MarathonOasisdeMontreal,DEMI-MARATHON,02:21:11,F30-34

1563,2012-09-23,MarathonOasisdeMontreal,MARATHON,04:21:42,M40-44
1563,2012-06-17,TourduLacBrome,20KMROUTE,01:49:46,M40-49
1563,2012-02-19,DéfiHivernalIleBizard,10KM,00:52:51,M40-49

1564,2012-10-14,ScotiabankTorontoWaterfrontMarathon,MARATHON,04:16:07,M55-59
1564,2012-09-23,MarathonOasisdeMontreal,MARATHON,04:19:54,M55-59

1566,2012-09-23,MarathonOasisdeMontreal,MARATHON,03:01:08,M25-29
1566,2012-02-18,DemiMarathonHypothermique,DEMIMARATHON,01:29:12,M20-29

1568,2012-09-23,MarathonOasisdeMontreal,DEMI-MARATHON,01:46:24,M35-39

1577,2012-09-23,MarathonOasisdeMontreal,MARATHON,03:42:43,M35-39
1577,2012-05-27,OttawaRaceWeekend,MARATHON,03:50:49,M35-39

1578,2012-10-21,NiagaraFallsInternationalMarathon,HALFMARATHON,01:47:12,M40-44
1578,2012-09-23,MarathonOasisdeMontreal,MARATHON,04:27:05,M40-44

1580,2012-09-30,MarathondeRimouski,"21,1KM",01:47:22,M40-49
1580,2012-09-23,MarathonOasisdeMontreal,DEMI-MARATHON,01:46:03,M45-49

1581,2012-09-23,MarathonOasisdeMontreal,MARATHON,03:11:55,M35-39
1581,2012-06-16,TourduLacBrome,"22,2KMCHEMINDECAMPAGNE",01:42:08,M30-39
1581,2012-06-02,Coursedesiles,21KM,01:29:52,M30-39

1584,2012-10-14,ClassiqueDuParcLaFontaine,10KM,00:57:58,M30-39

1591,2012-09-23,MarathonOasisdeMontreal,MARATHON,04:13:59,M30-34
1591,2012-06-02,Coursedesiles,21KM,01:44:25,M19-
1591,2012-04-29,BanqueScotia21kmet5km,"21,1KM",01:47:50,M30-34
1591,2012-02-18,DemiMarathonHypothermique,DEMIMARATHON,02:00:59,M30-39

1594,2012-09-23,MarathonOasisdeMontreal,DEMI-MARATHON,02:11:01,M50-54

1598,2012-09-23,MarathonOasisdeMontreal,MARATHON,03:58:25,M65-69
1598,2012-09-09,Demi-MarathonGranby,DEMIMARATHON,01:51:44,M60-69
1598,2012-06-30,DemiMarathondeSherbrooke,DEMIMARATHON,02:03:23,M60+

1600,2012-10-07,DemimarathondescouleursdeBecancour,DEMIMARATHON,01:56:19,F30-39

1602,2012-09-23,MarathonOasisdeMontreal,MARATHON,03:54:16,M40-44
1602,2012-04-29,BanqueScotia21kmet5km,"21,1KM",01:47:22,M40-44

1607,2012-09-23,MarathonOasisdeMontreal,MARATHON,04:51:08,M50-54

1610,2012-09-23,MarathonOasisdeMontreal,DEMI-MARATHON,02:26:00,F30-34

1612,2012-10-14,ClassiqueDuParcLaFontaine,10KM,00:54:53,F20-29
1612,2012-09-23,MarathonOasisdeMontreal,DEMI-MARATHON,02:04:23,F25-29
1612,2012-04-29,BanqueScotia21kmet5km,"21,1KM",02:13:38,F25-29

1614,2012-08-26,TriathlondeValleyfield,COURSE10KM,00:51:00,M20-29

1615,2012-09-23,MarathonOasisdeMontreal,1KMPTITMARATHON,00:05:58,F13+

1618,2012-09-23,MarathonOasisdeMontreal,MARATHON,02:56:10,M50-54
1618,2012-05-06,DéficourseetmarcheDesjardinsSainteThérèse,5KM,00:18:30,M50-59

1620,2012-09-23,MarathonOasisdeMontreal,DEMI-MARATHON,02:32:53,M35-39

1621,2012-09-23,MarathonOasisdeMontreal,MARATHON,04:11:01,F30-34
1621,2012-05-27,OttawaRaceWeekend,MARATHON,04:10:39,F30-34
1621,2012-05-26,OttawaRaceWeekend,5KM,00:31:39,F20-24

1623,2012-09-23,Marathon Oasis de Montreal,Marathon,03:59:55,M25-29

1630,2012-03-25,AroundtheBayRoadRaces,30KM,03:22:56,M50-54

1636,2012-09-23,Marathon Oasis de Montreal,Demi-Marathon,01:51:26,M25-29

1642,2012-09-23,MarathonOasisdeMontreal,DEMI-MARATHON,01:57:35,F30-34

1653,2012-09-23,MarathonOasisdeMontreal,MARATHON,03:25:05,M30-34
1653,2012-03-25,CourseetmarchepopulairesdeLaSalle,5KM,00:19:05,M30-39

1658,2012-09-23,Marathon Oasis de Montreal,Marathon,03:16:46,M35-39

1661,2012-09-23,MarathonOasisdeMontreal,MARATHON,04:28:39,F25-29
1661,2012-06-17,TourduLacBrome,20KMROUTE,01:55:43,F20-29

1669,2012-11-04,OkaRoadRace,10KCOURSE,00:40:35,M40-49
1669,2012-09-23,MarathonOasisdeMontreal,MARATHON,03:45:59,M40-44
1669,2012-06-17,TourduLacBrome,10KMROUTE,00:45:41,M40-49
1669,2012-05-26,OttawaRaceWeekend,10KM,00:45:40,M40-44
1669,2012-05-12,LeChallengeIRCM-Courirpourlavie,5KM,00:20:24,M40-49
1669,2012-04-29,BanqueScotia21kmet5km,"21,1KM",01:37:28,M40-44
1669,2012-03-25,CourseetmarchepopulairesdeLaSalle,10KM,00:45:03,M40-49

1673,2012-09-23,MarathonOasisdeMontreal,DEMI-MARATHON,01:38:26,M25-29

1674,2012-09-23,MarathonOasisdeMontreal,MARATHON,03:57:25,M25-29
1674,2012-06-17,TourduLacBrome,20KMROUTE,01:46:27,M20-29

1678,2012-09-23,MarathonOasisdeMontreal,MARATHON,04:02:24,F18-24

1680,2012-09-23,MarathonOasisdeMontreal,MARATHON,03:18:43,M45-49

1683,2012-09-23,Marathon Oasis de Montreal,Marathon,04:00:28,F30-34

1685,2012-09-23,MarathonOasisdeMontreal,MARATHON,04:58:08,M50-54

1689,2012-09-23,MarathonOasisdeMontreal,DEMI-MARATHON,01:57:36,F30-34
1689,2012-08-19,CoupeDix302012,10KM,00:48:01,F30-39
1689,2012-07-08,CoupeDix302012,10KM,00:49:41,F30-39

1690,2012-09-23,MarathonOasisdeMontreal,DEMI-MARATHON,01:32:57,M35-39
1690,2012-02-19,DéfiHivernalIleBizard,10KM,00:43:14,M30-39

1691,2012-10-14,ClassiqueDuParcLaFontaine,10KM,00:44:32,M30-39
1691,2012-09-09,Demi-MarathonGranby,DEMIMARATHON,01:43:02,M30-39
1691,2012-03-25,CourseetmarchepopulairesdeLaSalle,10KM,00:47:42,M30-39

1693,2012-09-23,MarathonOasisdeMontreal,DEMI-MARATHON,02:01:29,F40-44

1694,2012-09-23,Marathon Oasis de Montreal,Marathon,04:45:29,M30-34

1699,2012-09-23,MarathonOasisdeMontreal,MARATHON,03:31:27,M35-39
1699,2012-05-27,OttawaRaceWeekend,HALFMARATHON,01:31:22,M35-39

1701,2012-09-23,Marathon Oasis de Montreal,Marathon,04:26:58,M35-39

1704,2012-07-14,Demi-MarathonMarcelJobin,5KM,00:30:10,F40-49

1706,2012-09-23,MarathonOasisdeMontreal,MARATHON,04:14:08,M40-44

1711,2012-11-04,OkaRoadRace,10KCOURSE,01:12:22,F30-39
1711,2012-10-07,OttawaFallColoursMarathonEvents,HALFMARATHON,02:52:40,F35-39
1711,2012-09-23,MarathonOasisdeMontreal,MARATHON,-1,F35-39
1711,2012-06-24,IronmanMont-Tremblant70.3,OVERALL70.3,08:39:43,F35-39
1711,2012-02-26,Morin-HeightsVikingLoppet,JANNORDSTROM10KMCLASSIQUE,01:02:13,F30-39

1713,2012-10-07,LaPetiteDerniere,11KM,01:00:04,M30-39
1713,2012-09-23,MarathonOasisdeMontreal,MARATHON,05:27:19,M35-39
1713,2012-08-19,IronmanMont-Tremblant,OVERALL,15:41:52,M35-39
1713,2012-06-24,IronmanMont-Tremblant70.3,OVERALL70.3,07:12:59,M35-39
1713,2012-06-17,TourduLacBrome,20KMROUTE,02:30:18,M30-39
1713,2012-03-25,CourseetmarchepopulairesdeLaSalle,10KM,01:11:58,M30-39
1713,2012-02-19,DéfiHivernalIleBizard,5KM,00:32:51,M30-39

1714,2012-09-23,Marathon Oasis de Montreal,Marathon,02:52:40,M45-49

1715,2012-09-23,Marathon Oasis de Montreal,Marathon,04:31:50,M25-29

1728,2012-09-23,Marathon Oasis de Montreal,Marathon,03:32:48,M25-29

1731,2012-08-26,MarathondesDeuxRivesLévis-Québec,10KM,01:00:18,M30-39

1732,2012-04-29,BanqueScotia21kmet5km,"21,1KM",01:56:50,M65-69

1733,2012-09-23,MarathonOasisdeMontreal,10KM,00:51:05,M60-64
1733,2012-05-26,DefiMemphre,5KM,00:26:17,M60+
1733,2012-03-25,CourseetmarchepopulairesdeLaSalle,5KM,00:26:08,M60-69

1736,2012-09-23,MarathonOasisdeMontreal,DEMI-MARATHON,02:07:33,M30-34

1737,2012-09-23,MarathonOasisdeMontreal,MARATHON,04:04:52,M18-24

1738,2012-09-23,MarathonOasisdeMontreal,MARATHON,04:35:23,M40-44

1739,2012-09-23,MarathonOasisdeMontreal,MARATHON,04:11:55,F18-24

1742,2012-10-07,DemimarathondescouleursdeBecancour,DEMIMARATHON,02:04:51,F40-49
1742,2012-09-23,MarathonOasisdeMontreal,DEMI-MARATHON,02:05:22,F35-39
1742,2012-05-06,DemiMarathonInternationaldeQuebec,DEMIMARATHON,01:59:17,F40-49

1748,2012-09-23,ArmyRun/CoursedelArmee,HALFMARATHON,01:28:08,M30-39
1748,2012-06-03,DefidesEscaliers,19KM,-1,M30-39
1748,2012-06-03,DefidesEscaliers,GRIMPEURS,00:03:35,M30-39
1748,2012-06-03,DefidesEscaliers,SPRINTEURS,00:17:42,M30-39

1750,2012-09-23,MarathonOasisdeMontreal,MARATHON,04:00:33,F25-29

1753,2012-10-07,DemimarathondescouleursdeBecancour,DEMIMARATHON,01:32:07,M30-39
1753,2012-09-23,MarathonOasisdeMontreal,MARATHON,03:26:08,M30-34
1753,2012-07-14,Demi-MarathonMarcelJobin,21KM,01:37:11,M30-39
1753,2012-06-17,TourduLacBrome,20KMROUTE,01:33:01,M30-39
1753,2012-06-10,DemimarathondespompiersdeShawinigan,21KM,01:35:30,M30-39

1754,2012-09-23,Marathon Oasis de Montreal,Marathon,02:48:16,F40-44

1761,2012-09-23,MarathonOasisdeMontreal,MARATHON,04:16:11,F35-39
1761,2012-09-09,Demi-MarathonGranby,DEMIMARATHON,01:56:47,F30-39
1761,2012-06-17,TourduLacBrome,CHALLENGEMARATHON,04:13:42,F30-39
1761,2012-06-17,TourduLacBrome,20KMROUTE,01:56:47,F30-39
1761,2012-06-16,TourduLacBrome,"22,2KMCHEMINDECAMPAGNE",02:16:56,F30-39
1761,2012-04-29,BanqueScotia21kmet5km,"21,1KM",02:01:00,F35-39

1766,2012-09-23,Marathon Oasis de Montreal,Marathon,04:25:47,F30-34

1769,2012-04-29,BanqueScotia21kmet5km,"21,1KM",01:40:00,M30-34

1773,2012-09-23,MarathonOasisdeMontreal,MARATHON,03:39:49,M25-29

1776,2012-05-27,OttawaRaceWeekend,MARATHON,04:19:47,F25-29
1776,2012-04-29,BanqueScotia21kmet5km,"21,1KM",02:01:11,F25-29

1778,2012-09-23,MarathonOasisdeMontreal,MARATHON,03:13:36,M45-49

1780,2012-06-17,TourduLacBrome,20KMROUTE,01:34:56,M30-39

1782,2012-09-23,MarathonOasisdeMontreal,MARATHON,04:46:52,F35-39
1782,2012-02-18,DemiMarathonHypothermique,DEMIMARATHON,02:28:21,F30-39

1783,2012-09-23,MarathonOasisdeMontreal,MARATHON,04:42:38,F25-29
1783,2012-05-27,OttawaRaceWeekend,HALFMARATHON,01:59:15,F25-29

1784,2012-09-23,Marathon Oasis de Montreal,Marathon,04:12:46,M35-39

1788,2012-09-23,Marathon Oasis de Montreal,Marathon,03:53:02,M30-34

1791,2012-09-23,MarathonOasisdeMontreal,MARATHON,04:10:08,M25-29
1791,2012-06-30,DemiMarathondeSherbrooke,DEMIMARATHON,01:44:15,M20-29
1791,2012-06-17,TourduLacBrome,20KMROUTE,01:39:31,M30-39
1791,2012-05-20,CoupeDix302012,10KM,00:48:02,M30-39

1799,2012-09-23,Marathon Oasis de Montreal,Marathon,04:09:28,F50-54

1800,2012-09-23,Marathon Oasis de Montreal,Marathon,03:44:28,M25-29

1807,2012-10-14,ClassiqueDuParcLaFontaine,5KM,00:30:04,M40-49
1807,2012-09-23,MarathonOasisdeMontreal,5KMSPORTSEXPERTS,00:30:52,M45-49

1810,2012-11-04,OkaRoadRace,DEMI-MARATHON,01:46:32,M40-49

1818,2012-09-23,MarathonOasisdeMontreal,DEMI-MARATHON,01:50:25,F35-39

1819,2012-11-04,OkaRoadRace,DEMI-MARATHON,01:44:08,F50-59
1819,2012-09-23,MarathonOasisdeMontreal,MARATHON,03:56:02,F50-54
1819,2012-06-17,TourduLacBrome,20KMROUTE,01:36:27,F50-59

1822,2012-11-04,OkaRoadRace,DEMI-MARATHON,01:44:56,F40-49
1822,2012-08-12,Demi-MarathonduMont-Tremblant,DEMI-MARATHON,01:49:48,F40-49

1824,2012-09-23,MarathonOasisdeMontreal,MARATHON,03:35:06,F40-44

1831,2012-09-23,Marathon Oasis de Montreal,Marathon,03:56:17,M18-24

1833,2012-10-14,ScotiabankTorontoWaterfrontMarathon,MARATHON,04:18:36,F30-34

1834,2012-09-23,MarathonOasisdeMontreal,MARATHON,04:23:42,M45-49
1834,2012-06-17,TourduLacBrome,20KMROUTE,01:49:33,M40-49
1834,2012-05-06,CourseduFortdeChambly,10KM,00:49:31,M40-49

1837,2012-09-23,MarathonOasisdeMontreal,DEMI-MARATHON,01:51:37,M35-39
1837,2012-09-22,DefiVeloMag,105KM,-1,M50-59
1837,2012-08-12,GranfondoGarneau-Cascades,110KM,03:11:55,M51+

1842,2012-09-23,MarathonOasisdeMontreal,10KM,00:46:44,M45-49

1843,2012-10-07,DemimarathondescouleursdeBecancour,DEMIMARATHON,01:44:53,M50-59
1843,2012-02-18,DemiMarathonHypothermique,DEMIMARATHONMARCHE,02:40:39,M50-59

1844,2012-09-23,MarathonOasisdeMontreal,10KM,01:15:35,F18-24

1846,2012-05-06,"GoodlifeTorontoMarathon,HalfMarathon,and5k",MARATHON,04:00:40,M65-69
1846,2012-03-04,ChillyHalfMarathon&Frosty5km,HALFMARATHON,01:47:37,M65-69

1850,2012-09-23,MarathonOasisdeMontreal,DEMI-MARATHON,02:22:57,F30-34

1852,2012-09-23,MarathonOasisdeMontreal,MARATHON,04:09:46,F35-39
1852,2012-06-24,ScotiabankVancouverHalfMarathon&5k,HALFMARATHON,01:59:09,F30-34

1853,2012-05-27,OttawaRaceWeekend,HALFMARATHON,02:21:44,F35-39

1854,2012-09-23,Marathon Oasis de Montreal,Marathon,03:44:46,M18-24

1856,2012-09-23,MarathonOasisdeMontreal,MARATHON,04:16:13,M50-54
1856,2012-06-24,IronmanMont-Tremblant70.3,OVERALL70.3,06:33:27,M50-54

1857,2012-09-23,MarathonOasisdeMontreal,DEMI-MARATHON,01:42:22,M35-39
1857,2012-06-17,TourduLacBrome,10KMROUTE,00:51:05,M30-39
1857,2012-05-12,CoursedelaFondationhopitalSaintJerome,10KM,00:44:08,M30-39

1859,2012-09-23,Marathon Oasis de Montreal,Marathon,04:30:26,F30-34

1862,2012-09-23,MarathonOasisdeMontreal,DEMI-MARATHON,01:52:35,M45-49

1863,2012-09-23,Marathon Oasis de Montreal,Marathon,04:17:14,F25-29

1868,2012-09-23,MarathonOasisdeMontreal,MARATHON,03:42:33,M35-39
1868,2012-05-27,OttawaRaceWeekend,HALFMARATHON,01:42:33,M35-39

1870,2012-04-29,BanqueScotia21kmet5km,"21,1KM",02:02:41,M40-44

1875,2012-08-26,IronmanLouisville,OVERALLRESULTS,13:01:04,M50-54

1879,2012-09-23,MarathonOasisdeMontreal,DEMI-MARATHON,01:43:54,M40-44

1880,2012-09-23,MarathonOasisdeMontreal,MARATHON,04:42:55,F50-54

1882,2012-09-23,MarathonOasisdeMontreal,MARATHON,04:03:53,M45-49
